IDIV - Carteira do Dia 09/10/23,Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ABCB4,ABC BRASIL,PN      N2,115052073,"0,461"
ALUP11,ALUPAR,UNT     N2,252050152,"1,458"
AURE3,AUREN,ON      NM,522550141,"1,431"
B3SA3,B3,ON      NM,985914193,"2,369"
BRSR6,BANRISUL,PNB     N1,349889871,"0,845"
BBSE3,BBSEGURIDADE,ON      NM,573693332,"3,734"
BRAP4,BRADESPAR,PN      N1,434359310,"1,939"
BBAS3,BRASIL,ON      NM,441736477,"4,38"
AGRO3,BRASILAGRO,ON      NM,103373073,"0,601"
CXSE3,CAIXA SEGURI,ON      NM,895529339,"2,043"
CMIG3,CEMIG,ON      N1,624311576,"2,382"
CMIG4,CEMIG,PN      N1,1633620444,"4,018"
CSMG3,COPASA,ON      NM,326144354,"1,125"
CPLE3,COPEL,ON  EJ  N2,2221910319,"3,517"
CPLE6,COPEL,PNB EJ  N2,2906075407,"4,919"
CPFE3,CPFL ENERGIA,ON      NM,324869557,"2,196"
CMIN3,CSNMINERACAO,ON      N2,1921813481,"1,818"
DIRR3,DIRECIONAL,ON      NM,186195343,"0,665"
EGIE3,ENGIE BRASIL,ON      NM,364088918,"3,005"
FESA4,FERBASA,PN      N1,70076425,"0,67"
FLRY3,FLEURY,ON      NM,597486735,"1,884"
GGBR4,GERDAU,PN      N1,1050894109,"4,835"
GOAU4,GERDAU MET,PN      N1,1142835986,"2,438"
GRND3,GRENDENE,ON      NM,464031737,"0,615"
RANI3,IRANI,ON      NM,177830262,"0,42"
ITSA4,ITAUSA,PN      N1,1218083071,"2,222"
JBSS3,JBS,ON      NM,827978031,"3,053"
JHSF3,JHSF PART,ON      NM,478509559,"0,429"
KEPL3,KEPLER WEBER,ON      NM,305494244,"0,674"
KLBN11,KLABIN S/A,UNT     N2,659756811,"3,147"
LAVV3,LAVVI,ON      NM,127797018,"0,179"
MRFG3,MARFRIG,ON      NM,506319782,"0,705"
LEVE3,METAL LEVE,ON      NM,66610974,"0,633"
BEEF3,MINERVA,ON      NM,451720888,"0,745"
PETR3,PETROBRAS,ON      N2,673363331,"4,97"
PETR4,PETROBRAS,PN      N2,816746192,"5,555"
PSSA3,PORTO SEGURO,ON  EJ  NM,314138706,"1,69"
RAPT4,RANDON PART,PN      N1,305619969,"0,684"
ROMI3,ROMI,ON      NM,77995974,"0,189"
SANB11,SANTANDER BR,UNT,475889848,"2,626"
CSNA3,SID NACIONAL,ON,805859909,"1,883"
TAEE11,TAESA,UNT     N2,378230466,"2,621"
TASA4,TAURUS ARMAS,PN      N2,118459276,"0,369"
TGMA3,TEGMA,ON      NM,55378113,"0,27"
VIVT3,TELEF BRASIL,ON,387904078,"3,53"
TRPL4,TRAN PAULIST,PN      N1,523708243,"2,37"
TRIS3,TRISUL,ON      NM,123628726,"0,121"
UNIP6,UNIPAR,PNB,79205091,"1,247"
USIM5,USIMINAS,PNA     N1,891406254,"1,145"
VALE3,VALE,ON      NM,371389990,"5,04"
WIZC3,WIZ CO,ON      NM,130260051,"0,135"
Quantidade Teórica Total,,,29857787209,100
Redutor,,,"63496054,2969488",
